NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,BOLSA,FECHA
40,3747,4,16,17,18,29,33,22,72300000,24/05/2023
40,3746,1,8,23,29,45,50,6,70000000,21/05/2023
40,3745,12,32,44,45,47,56,50,66400000,19/05/2023
40,3744,4,6,8,30,34,38,12,63000000,17/05/2023
40,3743,8,18,19,37,43,48,42,60500000,14/05/2023
40,3742,1,15,17,23,30,38,53,57400000,12/05/2023
40,3741,8,17,19,22,36,39,41,54300000,10/05/2023
40,3740,3,15,27,50,54,56,10,51900000,07/05/2023
40,3739,5,6,9,27,32,40,47,48800000,05/05/2023
40,3738,10,15,26,44,53,55,14,45400000,03/05/2023
40,3737,4,29,40,47,51,52,7,42800000,30/04/2023
40,3736,30,31,38,42,45,54,27,39400000,28/04/2023
40,3735,8,11,15,24,35,55,5,36800000,26/04/2023
40,3734,12,16,19,21,35,39,32,34700000,23/04/2023
40,3733,2,35,46,47,51,53,49,31100000,21/04/2023
40,3732,2,14,19,29,30,38,7,30900000,19/04/2023
40,3731,5,12,27,29,44,53,49,30800000,16/04/2023
40,3730,7,8,31,44,47,54,12,30700000,14/04/2023
40,3729,8,10,14,17,27,41,36,30600000,12/04/2023
40,3728,18,19,38,48,53,56,17,30500000,09/04/2023
40,3727,1,10,26,30,39,42,35,30400000,07/04/2023
40,3726,22,26,31,39,44,52,24,30300000,05/04/2023
40,3725,1,19,32,39,40,41,3,30200000,02/04/2023
40,3724,3,9,18,32,47,54,52,30100000,31/03/2023
40,3723,14,18,32,48,50,54,1,30000000,29/03/2023
40,3722,15,17,19,23,25,42,1,33900000,26/03/2023
40,3721,9,38,44,52,54,55,48,31000000,24/03/2023
40,3720,4,10,15,32,35,45,2,30900000,22/03/2023
40,3719,2,7,12,28,52,54,53,30800000,19/03/2023
40,3718,7,17,19,34,46,53,12,30700000,17/03/2023
40,3717,1,8,24,26,35,50,17,30600000,15/03/2023
40,3716,7,8,24,26,27,28,10,30500000,12/03/2023
40,3715,21,27,29,35,38,46,2,30400000,10/03/2023
40,3714,2,5,19,31,47,54,30,30300000,08/03/2023
40,3713,1,11,12,29,36,51,3,30200000,05/03/2023
40,3712,1,18,30,44,45,54,11,30100000,03/03/2023
40,3711,7,14,38,41,46,54,31,30000000,01/03/2023
40,3710,15,28,50,51,55,56,3,96100000,26/02/2023
40,3709,2,4,22,24,39,55,41,92700000,24/02/2023
40,3708,2,20,21,35,39,48,1,88900000,22/02/2023
40,3707,2,8,12,24,29,41,33,86900000,19/02/2023
40,3706,16,27,31,33,39,43,8,83200000,17/02/2023
40,3705,6,13,15,19,55,56,40,79800000,15/02/2023
40,3704,1,5,9,19,39,44,33,77500000,12/02/2023
